Location,Attractiveness,c_in,c_stay + c_out,Population,Criminal Damage and Arson,Crimes Of Dishonesty,Sexual Offences,Violence,Other,Total
North Devon ,0.20953279,11333,54087,157506,1427,3200,148,1724,940,7439
North East Derbyshire,0.348393626,13425,38534,99023,758,1737,47,564,247,3353
North East Lincolnshire,0.191357618,11620,60724,159616,3336,8287,197,2263,1108,15191
North Hertfordshire,0.386502136,20359,52675,127114,1157,3048,56,994,793,6048
North Kesteven,0.385751929,16396,42504,107766,708,2017,64,496,212,3497
North Lanarkshire,0.290102711,36859,127055,337727,5511,9530,380,659,4649,20729
North Lincolnshire,0.223601922,14802,66198,167446,2404,7345,228,2099,792,12868
North Norfolk,0.265437099,8520,32098,101499,721,1417,87,683,308,3216
North Somerset,0.241216899,18847,78133,202566,2055,5976,158,2089,1664,11942
North Tyneside,0.393797379,32519,82578,200801,1570,3659,91,1203,1268,7791
North Warwickshire,0.993404523,25304,25472,62014,643,2417,41,491,160,3752
North West Leicestershire,0.702438896,26699,38009,93468,933,2914,73,755,471,5146
North Yorkshire,0.340384069,79125,232458,598376,4670,13138,381,4120,2831,25140
Northampton,0.437900029,39545,90306,212069,3329,10867,371,4278,1673,20518
Northumberland,0.189009439,22508,119084,316028,2300,5551,204,1492,1335,10882
Norwich,0.907458719,48471,53414,132512,2413,6256,254,2511,1551,12985
Nottingham,0.851487403,89734,105385,305680,4995,17740,362,6423,4058,33578
Nuneaton and Bedworth,0.289501529,15048,51979,125252,1697,5597,142,1556,682,9674
Oadby and Wigston,0.525516753,11873,22593,56170,539,1479,33,503,288,2842
Oldham,0.355637198,29137,81929,224897,2996,8261,221,3180,1838,16496
Orkney Islands,0.025061046,195,7781,21349,145,150,4,17,104,420
Oxford,0.78871592,45852,58135,151906,1874,11419,174,1983,1920,17370
Pembrokeshire,0.104192914,4135,39686,122439,1203,1919,89,1045,844,5100
Pendle,0.313798599,10436,33257,89452,998,2957,87,943,604,5589
Perth and Kinross,0.180678899,9847,54500,146652,1060,2727,105,140,1288,5320
Peterborough,0.437605691,32606,74510,183631,2874,9018,236,2946,2040,17114
Plymouth,0.259449295,25940,99981,256384,4095,9008,413,4678,2933,21127
Poole,0.549472171,32115,58447,147645,1664,5227,142,1410,521,8964
Portsmouth,0.515710773,41524,80518,205056,3132,11284,301,5031,2124,21872
Powys,0.184251612,8143,44195,132976,1021,2086,80,855,1317,5359
Preston,0.80285332,44401,55304,140202,2055,5695,201,2146,1138,11235
Reading,0.634137202,42309,66719,155698,1872,9491,193,2531,1613,15700
Redbridge,0.321787441,32088,99718,278970,2318,13995,274,4210,3460,24257
Redcar and Cleveland,0.271065603,12813,47269,135177,2357,4529,110,1448,873,9317
Redditch,0.379081182,13747,36264,84214,1156,2998,134,1384,625,6297
Reigate and Banstead,0.572968213,32536,56785,137835,1387,3786,99,1475,940,7687
Renfrewshire,0.471988672,31998,67794,174908,2606,6084,132,416,2253,11491
Rhondda Cynon Taf,0.230659282,19365,83955,234410,2858,6162,147,2311,1788,13266
Ribble Valley,0.618174641,14095,22801,57132,336,836,23,287,100,1582
Richmond upon Thames,0.497592564,38651,77676,186990,1378,7467,168,1823,1176,12012
Rochdale,0.32755256,25177,76864,211699,3350,8421,239,3125,1903,17038
Rochford,0.31850289,10416,32703,83287,515,1378,48,485,229,2655
Rossendale,0.281259281,7576,26936,67982,824,1829,46,658,262,3619
Rother,0.354727119,9639,27173,90588,899,2072,69,493,298,3831
Rotherham,0.378490345,36910,97519,257280,3548,9771,143,2011,1317,16790
Rugby,0.41874836,17551,41913,100075,1010,3462,105,868,492,5937
Runnymede,0.94149426,30672,32578,80510,810,2973,60,694,775,5312
Rushmoor,0.590238847,25058,42454,93807,1123,2826,93,1331,758,6131
Rutland,0.490754117,6794,13844,37369,242,799,27,166,111,1345
Salford,0.648151796,59232,91386,233933,3518,9126,211,3103,2891,18849
Sandwell,0.525003127,58772,111946,308063,3212,11472,307,3894,1851,20736
Scottish Borders,0.071762325,2872,40021,113870,1096,1654,127,125,842,3844
Sedgemoor,0.215335717,9214,42789,114588,1186,3562,105,1172,1036,7061
Sefton,0.277204014,28478,102733,273790,3105,8694,243,1968,2910,16920
Sevenoaks,0.484671803,20948,43221,114893,958,3158,55,626,244,5041
Sheffield,0.307870549,63776,207152,552698,7867,27217,348,4755,3366,43553
Shepway,0.286145283,11002,38449,107969,1150,2683,91,1241,485,5650
Shetland Islands,0.049291559,494,10022,23167,183,240,30,32,189,674
Shropshire,0.250835433,29274,116706,306129,2409,7451,208,2299,1190,13557
Slough,0.70427479,39326,55839,140205,2048,8101,183,2816,1295,14443
Solihull,0.632138816,51403,81316,206674,1848,7989,166,2108,1206,13317
South Ayrshire,0.351959435,13813,39246,112799,1438,2731,138,155,1052,5514
South Bucks,0.817565424,20619,25220,66867,599,3135,47,485,354,4620
South Cambridgeshire,0.552366065,34983,63333,148755,828,2945,64,666,413,4916
South Derbyshire,0.361073995,14322,39665,94611,797,2017,54,786,293,3947
South Gloucestershire,0.527189625,59632,113113,262767,2469,8076,179,2021,1893,14638
South Holland,0.26899988,8962,33316,88270,832,2970,67,703,425,4997
South Kesteven,0.263832395,14205,53841,133788,1199,3895,111,1046,760,7011
South Lakeland,0.251666278,9704,38559,103658,1120,1824,59,699,477,4179
South Lanarkshire,0.28911508,34710,120056,313830,4424,6922,241,474,3789,15850
South Norfolk,0.478991597,22686,47362,124012,847,2115,90,661,322,4035
South Nottinghamshire,0.407165597,55379,136011,334159,2839,8825,131,2422,1136,15353
South Oxfordshire,0.436702668,23654,54165,134257,943,3305,76,791,608,5723
South Ribble,0.494679623,23570,47647,109057,1294,2848,93,1075,455,5765
South Somerset,0.245118712,15228,62125,161243,1768,3965,130,1446,855,8164
South Staffordshire,0.405054251,17583,43409,108131,809,2599,42,728,579,4757
South Tyneside,0.260387862,14407,55329,148127,1588,2941,88,990,1331,6938
South Warwickshire,0.574073356,59195,103114,258133,2036,9249,175,1933,1105,14498
South Worcester,0.464992766,52706,113348,290343,2807,9241,322,2841,1777,16988
Southampton,0.442333428,41977,94899,236882,4309,13162,381,5769,2829,26450
Southend-on-Sea,0.310276028,20683,66660,173658,2147,6623,241,2881,1315,13207
Southwark,1.096688193,132458,120780,288283,2986,17895,503,8038,5053,34475
Spelthorne,0.511540045,21122,41291,95598,1024,3480,63,1055,857,6479
St Albans,0.471942092,26862,56918,140664,1097,3835,75,875,731,6613
St. Helens,0.324113974,22113,68226,175308,2057,5428,124,1166,1706,10481
Stafford,0.450960012,23863,52916,130869,1143,3211,77,1388,794,6613
Staffordshire Moorlands,0.266485597,10204,38291,97106,848,1717,49,802,381,3797
Stevenage,0.576384071,20770,36035,83957,1061,2992,81,1162,920,6216
Stirling,0.60303143,19455,32262,90247,1225,2719,158,144,991,5237
Stockport,0.420248111,48002,114223,283275,3051,10308,272,3061,1475,18167
Stockton-on-Tees,0.405719924,30018,73987,191610,2465,6109,214,1863,1017,11668
Stoke-on-Trent,0.426118411,40053,93995,249008,4545,9843,250,5034,2466,22138
Stroud,0.299499594,13287,44364,112779,1027,2602,94,760,431,4914
Suffolk Coastal,0.332056474,15170,45685,124298,1232,2956,81,895,483,5647
Sunderland,0.386672844,40898,105769,275506,3786,8773,242,2478,2340,17619
Surrey Heath,0.664470306,23295,35058,86144,822,1733,34,766,545,3900
Sutton,0.377730556,29863,79059,190146,1602,6467,205,2448,1014,11736
Swale,0.24855628,12611,50737,135835,1794,4823,149,1672,536,8974
Swansea,0.316605351,27797,87797,239023,2758,8579,185,2267,2205,15994
Swindon,0.257922165,23905,92683,209156,2582,8146,221,2620,1093,14662
Tameside,0.270926576,23608,87138,219324,2997,8143,215,3336,1678,16369
Tamworth,0.344639981,11339,32901,76813,1027,2259,80,1082,724,5172
Tandridge,0.442449808,13950,31529,82998,993,2640,32,625,419,4709
Taunton Deane,0.360526919,15737,43650,110187,1210,3751,100,1202,885,7148
Telford and Wrekin,0.348352547,23418,67225,166641,2150,5785,259,1902,896,10992
Tendring,0.156560648,6788,43357,138048,1787,4617,131,1792,766,9093
Test Valley,0.480495861,22985,47836,116398,1033,2916,81,1183,653,5866
Tewkesbury,0.754662197,25211,33407,81943,580,1980,49,368,228,3205
Thanet,0.13179045,5854,44419,134186,2161,5208,143,2275,778,10565
The Vale of Glamorgan,0.272147109,13305,48889,126336,1277,3102,93,1100,860,6432
Three Rivers,0.541287868,18636,34429,87317,571,1978,31,405,382,3367
Thurrock,0.337835117,21813,64567,157705,1753,6957,130,2005,821,11666
Tonbridge and Malling,0.641208333,30778,48000,120805,1153,2936,65,912,498,5564
